Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:27:01.499,19.4,16512568190169869,16512568190169869,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.520,20.2,16512568190369875,16512568190369875,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.540,20.1,16512568190569856,16512568190569856,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.560,20.2,16512568190769843,16512568190769843,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.580,19.9,16512568190969859,16512568190969859,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.601,20.7,16512568191169831,16512568191169831,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.619,18.4,16512568191369862,16512568191369862,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.640,21.0,16512568191569832,16512568191569832,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.660,19.8,16512568191769850,16512568191769850,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.680,20.7,16512568191969796,16512568191969796,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.700,19.3,16512568192169825,16512568192169825,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.719,19.5,16512568192369842,16512568192369842,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.739,20.1,16512568192569800,16512568192569800,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.761,21.2,16512568192769786,16512568192769786,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.780,19.3,16512568192969818,16512568192969818,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.800,20.1,16512568193169787,16512568193169787,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.819,19.3,16512568193369775,16512568193369775,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.840,21.2,16512568193569765,16512568193569765,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.860,19.7,16512568193769786,16512568193769786,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.880,19.9,16512568193969779,16512568193969779,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.900,19.6,16512568194169759,16512568194169759,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.920,19.9,16512568194369769,16512568194369769,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.940,20.2,16512568194569758,16512568194569758,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:27:01.960,20.0,16512568194769765,16512568194769765,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
